	Sequences	ChIP Score	BHLHE40_GM12878_1	BHLHE40_FB_1	BHLHE40_GM12878_5	BHLHE40_GM12878_4	BHLHE40_GM12878_3	BHLHE40_GM12878_2
27	chr2:86307385-86307885	94	1.1495359843081636e-05	0.0005393648887241413	1.0	9.862752391385161e-11	3.074943328603862e-07	4.312793553683768e-23
28	chr1:204464514-204465014	83	0.003264254861858652	0.00151423347752265	2.151349404489249e-10	1.2649269648621036e-13	0.000977393531841653	3.4531093568729016e-34
29	chr1:168490066-168490566	126	0.016978115266893842	0.03835746653807562	9.536184830061028e-11	6.1441626262403405e-18	4.574228982935735e-05	1.0917277191901223e-31
30	chr7:142508710-142509210	135	0.0005906331745607713	0.00950789202345691	2.329718685560721e-10	4.508908101901264e-09	6.993125304437987e-12	1.6808865153054916e-25
31	chr10:105263991-105264491	77	7.015682306974598e-07	0.000268584234656722	0.49140168849754784	2.4140919440632756e-17	1.1280264766453577e-08	8.400101386708965e-34
32	chr3:16414330-16414830	159	0.08732190561793592	0.0717332413172795	2.151349404489249e-10	1.3383688110999936e-14	7.157180359288997e-07	1.4151805115981233e-28
33	chr20:34720604-34721104	120	0.009144985401933203	0.005197694588299595	1.9373536682724006e-10	8.985788862404095e-10	1.2738436435100108e-07	5.016868425468072e-31
34	chr6:29676599-29677099	158	0.0016624323865761321	1.9915951628294823e-05	0.3292192580358966	1.0836004567206286e-12	4.193218006220936e-05	5.671885902127133e-24
35	chr14:103397528-103398028	109	0.017351228292867758	0.0035489521260284175	1.7475756076603748e-10	7.034097016317622e-11	1.5257638453722554e-15	2.4020185068875208e-11
36	chr19:50887699-50888199	235	0.0942549078487637	0.0724910677719714	2.151349404489249e-10	4.7275926199468625e-08	1.461571483373377e-07	7.151968557831159e-25
37	chr22:37415412-37415912	104	4.537859855797589e-12	0.00022891259309835443	0.3292192580358966	7.076323963457675e-05	1.6094484083556432e-17	8.979513695723111e-21
38	chr7:99815096-99815596	100	0.000394709919206352	0.0038151059463114264	5.753355449155797e-11	3.6645579425148358e-09	8.462128660349124e-05	5.025141572996348e-26
39	chr16:84596009-84596509	119	1.4590886898170762e-07	0.0021707540309037236	9.536184830061028e-11	2.6460888663039437e-10	0.014293826997059443	8.93640899921831e-31
40	chr19:1862252-1862752	150	0.01160581999700966	0.004128337531927816	1.2712827925824075e-10	2.7989022979535066e-09	0.013346096586127098	1.2240470040128654e-16
41	chr10:72165656-72166156	116	0.39712940811309594	0.20838090843410975	4.6860973273166904e-11	4.0646126452809034e-13	1.6547075407326203e-08	1.608873983622601e-25
42	chr19:10349010-10349510	95	0.0014212413881547852	0.0037308282852876176	5.753355449155797e-11	3.310498935433172e-15	2.848937521227814e-06	4.814014739400448e-22
43	chr16:10902010-10902510	100	2.0405061684808915e-05	0.00014633779867485386	1.747575607660381e-10	2.1855185665297666e-11	0.000644914473779871	1.9050518832775993e-33
44	chr20:30458433-30458933	247	0.007622974179738216	0.006951494413683248	3.05402050448955e-20	1.8435618263754266e-06	2.5636029542758096e-17	2.332297173592486e-28
45	chr17:80290708-80291208	81	0.008146356267988292	0.0003528658033757993	3.62164172621166e-10	5.72198023997461e-08	1.0917548385519508e-17	2.7391325126643356e-27
46	chr16:84637874-84638374	112	0.00015354101899909826	7.533383739598031e-05	3.942505110627179e-10	1.8028805929957823e-11	1.6572613411545808e-08	3.2789074543988555e-18
47	chr3:146268834-146269334	208	0.14361663356719837	0.1220639661271778	1.747575607660381e-10	4.8107968583762606e-18	1.1468960011478235e-09	1.2603864610992066e-14
48	chr7:152456361-152456861	79	0.0004785669853115491	0.0022956782987128923	9.536184830060993e-11	1.287144349075893e-06	0.00022222607623316028	7.081275811292586e-31
49	chr22:19418526-19419026	83	0.03687860432953722	0.015553793129201571	6.889825764408426e-20	1.2028263844031518e-09	9.533239912165331e-16	8.312894787347667e-24
50	chr22:26930764-26931264	99	0.0008037889350087424	0.009263816783394288	3.942505110627179e-10	5.334396604628141e-16	8.73656044562306e-05	4.0878825956650724e-24
51	chr11:62691440-62691940	443	0.02689535620170969	0.10616836104805147	6.388858173940766e-11	2.6704240301914167e-14	0.0006637648035667967	1.9831806822743912e-19
52	chr11:103886348-103886848	165	7.407503495358415e-05	0.0012361765906615833	9.536184830061028e-11	2.294949581331691e-24	2.814749564284217e-06	2.1338042453802277e-26
53	chr22:45675618-45676118	84	9.790515098791891e-07	0.00599496469442729	7.481106653100382e-20	9.499534266597845e-13	0.06482729955501411	2.005703670318498e-29
54	chr5:180618696-180619196	81	0.00032720171677239366	1.293095099455063e-07	0.6699595580195883	4.57925593102451e-07	3.3369794510121008e-15	1.363533963787728e-23
55	chr1:200878721-200879221	95	0.0006153979032114024	2.161836673321436e-08	3.139495694245853e-11	2.1741590633894108e-14	3.807813324251026e-09	1.1753838881863468e-31
56	chr22:43582618-43583118	156	0.9116982145527966	0.5938777025845896	1.1708049817139582e-10	3.2243433754585277e-10	1.931597632254332e-15	1.773772620744244e-25
57	chr18:56320993-56321493	84	1.1352972779072568e-05	0.00014633779867485386	6.329092740412555e-20	4.047208814395216e-25	2.860040025640688e-10	5.4478311805160176e-42
58	chr17:47074561-47075061	88	0.007622974179738216	0.0040535418335005515	6.077022857366943e-20	1.56860451843895e-07	6.439003880109327e-17	3.488251693770154e-32
59	chr12:109024639-109025139	200	0.033622157722438234	0.015553793129201571	9.536184830060993e-11	9.130394204296928e-13	2.8603528189316372e-11	1.5223367064353445e-20
60	chr5:150284446-150284946	142	1.5842851335155162e-05	2.8641259618031743e-06	3.477401968034322e-10	1.5084532357520235e-08	6.099675134426661e-08	2.727341125904752e-33
61	chr5:110431647-110432147	101	0.007607533244607527	0.02516989259836508	0.5456808156545454	1.2465400804378447e-19	0.19923547348513523	1.7286477084348612e-26
62	chr2:85767084-85767584	90	0.02970937924393391	0.08949699946921402	3.62164172621166e-10	5.068539346998169e-17	1.2818119573672295e-05	8.155742308252807e-28
63	chr3:108107691-108108191	90	0.008497291103544951	0.011552440813794732	9.536184830061028e-11	3.0587456417812647e-12	0.00027333668482789703	3.499435610962338e-24
64	chr2:228670351-228670851	98	0.023436401959185418	0.04461952799459505	1.0	8.650742562602815e-11	7.506317218425886e-07	1.3675858417880586e-33
65	chr1:27136454-27136954	75	3.6816278709194666e-08	8.954897140926504e-06	1.1708049817139582e-10	6.687019988926527e-13	0.008038672541813518	6.279602791192935e-14
66	chr6:30736984-30737484	118	3.7841009622302386e-06	0.005121149734418235	3.942505110627165e-10	2.6844117778322047e-10	4.3676914006908116e-08	4.81817913808966e-25
67	chr4:88928632-88929132	76	0.0013457937172452988	5.1611600262789294e-05	1.1708049817139582e-10	5.090692445450122e-06	1.127852256284402e-16	3.6904574668410863e-25
68	chr7:7362828-7363328	124	7.069311852401156e-10	0.0010469526056029472	6.889825764408426e-20	8.190695485082903e-13	1.1107242720663147e-07	9.720929874162408e-22
69	chr5:82393347-82393847	91	0.019813487971419852	0.018454503290258894	3.477401968034322e-10	1.6856529350472848e-19	5.740975780172324e-06	5.1882597049281106e-36
70	chr16:89048977-89049477	123	3.22855517113097e-08	0.014253449606452874	1.0	1.3484614144085047e-13	1.3849075851176915e-19	9.717229735662042e-18
71	chr11:9665273-9665773	196	0.036671886079508144	0.046350721140854145	3.139495694245864e-11	4.602675201283075e-21	5.694946214074914e-08	4.191088775437207e-29
72	chrX:49022615-49023115	132	9.503869726549559e-06	0.00010407891390015121	9.536184830061028e-11	8.827623150098037e-08	5.671293015739147e-17	7.676802911991959e-28
73	chr17:62098009-62098509	293	0.00598001776591949	0.01356398556419567	4.240236175031751e-20	2.4138003870465396e-13	7.458534772541036e-10	2.1030998666213237e-24
74	chr9:100866007-100866507	89	0.0004958947650278689	7.574528235227294e-05	9.536184830061028e-11	1.428240769853481e-10	0.008038672541813518	2.5247042078302752e-30
75	chr15:80260068-80260568	75	0.12964825876982075	0.05315027243299096	9.536184830061028e-11	1.2321557725688059e-15	0.0005736476613929106	4.8484574877618484e-23
76	chr17:66057474-66057974	151	7.58944985723772e-05	0.002188528718841122	3.62164172621166e-10	3.353944536285554e-16	2.337207466868017e-06	1.95191737162619e-34
77	chr16:85790769-85791269	137	0.1216621059908708	0.011907724522693933	9.536184830061028e-11	5.168983613329859e-14	0.0007085183389572307	1.7444145067265264e-24
78	chr1:16157133-16157633	94	0.008203463361917249	0.000610471395666679	6.329092740412555e-20	7.500141905810871e-13	2.866690767648296e-16	1.2558897933798408e-28
79	chr13:73300802-73301302	97	0.3252621367824993	0.11941967487975345	1.2712827925824075e-10	1.2483561700601324e-08	0.008038672541813518	2.6028042134017105e-28
80	chr10:91108120-91108620	72	7.1287995290378316e-09	0.00034234516942476683	1.2593904066243603e-19	8.604788830253342e-17	1.871202400372143e-08	2.5144226612623765e-33
81	chr17:80673878-80674378	120	0.019498123116572855	0.08832854347269148	1.1708049817139582e-10	1.0451877856505069e-08	2.147247893307142e-17	3.429157514869435e-26
82	chr9:130628719-130629219	92	0.06212291746781449	0.046285703998165374	3.942505110627165e-10	6.41460251802803e-12	9.89193677968864e-05	5.929928759433628e-27
83	chr1:43919930-43920430	79	1.2554395864001525e-07	0.0009159954717586301	8.587616043814395e-11	2.94606475125066e-17	1.3356751188574804e-07	4.80169455097781e-22
84	chr16:57038276-57038776	78	0.12964825876982075	0.07784238095675967	1.747575607660381e-10	3.7249266841050697e-13	1.7536403489121448e-14	5.966186794660683e-32
85	chr1:31846363-31846863	77	0.004940952801477622	0.005197694588299595	6.889825764408426e-20	2.255394661394054e-14	1.245668436436427e-12	2.9743540072336814e-16
86	chr1:180935359-180935859	82	0.3252621367824993	0.11941967487975345	3.3161147895593385e-20	1.4556678380039392e-16	5.16583937054627e-05	1.413949530323216e-27
87	chr17:4476882-4477382	130	0.000924825630510278	0.04030719538472794	1.1708049817139582e-10	1.2176375833844647e-14	2.387300577780493e-08	4.943674634251423e-22
88	chr9:117155045-117155545	126	0.2783546182425717	0.20838090843410975	3.942505110627165e-10	6.711289460401556e-21	3.441749609820666e-06	1.382225174914796e-20
89	chr11:35411572-35412072	254	0.184969577990921	0.08832854347269148	6.388858173940766e-11	5.880072622262627e-16	0.00039746219707029835	0.0006004371919206489
90	chr10:6183652-6184152	98	0.0028868121213206747	0.0040535418335005515	3.110126859296269e-20	1.611095451939265e-14	4.8945040900666426e-05	1.2809152860968802e-23
91	chr19:54706843-54707343	73	0.00040284761929968566	0.0010985295861244276	1.170804981713954e-10	3.3132318933809086e-13	0.0003695297369011246	7.955672895183476e-26
92	chr3:38692638-38693138	85	0.018189079078266984	0.00011756848059531086	1.747575607660381e-10	1.203439464457671e-13	9.43961820270742e-09	1.6268449141229082e-22
93	chr9:86306387-86306887	80	0.04671305311157624	0.016240813562580593	3.139495694245864e-11	5.65605635790421e-19	9.244237053424344e-07	1.2512699212681544e-20
94	chr12:50361191-50361691	103	0.0015038301331031377	0.00020900522785190657	3.759645742840072e-20	2.170950921077461e-10	2.3285830495712838e-17	1.2723754816580563e-15
95	chr19:44460897-44461397	88	0.017622898828453797	0.01776523009607007	1.747575607660381e-10	2.3177449337304706e-19	0.022778161090923947	4.934659046336068e-37
96	chr2:8820362-8820862	113	0.022466649858362536	0.21278540189719097	1.2712827925824075e-10	1.7931574449969053e-14	6.866971242207134e-05	9.680555290508931e-31
97	chr2:128588331-128588831	197	0.006800046627687382	0.00019645866099731967	1.747575607660381e-10	4.201989895680466e-10	3.2160075763706477e-07	5.532378114295924e-23
98	chr1:3583864-3584364	108	0.07942765823968795	0.5233739009928021	1.8975515422756936e-10	1.747253542769162e-10	0.06482729955501411	8.983928567463317e-23
99	chr6:133134229-133134729	251	0.07942765823968795	0.20838090843410975	1.8975515422756936e-10	1.2911557738111596e-15	0.031103525294664893	7.523786849503762e-34
100	chr1:1677487-1677987	303	7.9529021643064e-05	0.00019659097937545277	1.1708049817139623e-10	2.625466749226594e-08	0.000784610539096225	4.2708786477094616e-29
101	chr1:246984470-246984970	96	0.15149620992044618	0.01776151200525756	3.05402050448955e-20	1.8167562362657892e-17	7.0495891830616975e-06	1.0
102	chr2:44347499-44347999	78	8.308018657582458e-09	3.566284975853784e-05	9.536184830061028e-11	4.9069528164841366e-21	3.75749569971711e-09	1.1836199387680221e-27
103	chr7:949577-950077	213	0.15591973679331628	0.18507572784287693	1.2712827925824075e-10	8.538136082867838e-15	9.283299343147134e-05	2.187945707396522e-25
104	chr18:43542358-43542858	113	1.4085599855846258e-09	0.006059057943135979	1.7475756076603748e-10	8.007565217357628e-19	0.0006098051442746404	8.155697161266607e-30
105	chr8:33411518-33412018	396	0.184969577990921	0.05315027243299096	1.0	1.840214897466775e-11	3.3825435708792554e-06	1.3150841869644842e-25
106	chr5:6718387-6718887	117	7.58944985723772e-05	0.0017815337079476804	3.942505110627179e-10	1.7543941990525733e-20	0.0001404913383867916	9.196714717927436e-34
107	chr7:89867868-89868368	108	8.197056573729553e-07	0.014595082926369218	1.747575607660381e-10	4.59448453838691e-14	0.0051271116484402635	2.9652570448137057e-27
108	chr17:46659571-46660071	83	0.021366925821731046	0.04461952799459505	1.1708049817139582e-10	8.644755321526546e-07	2.5797351888631145e-06	2.109724131242806e-24
109	chr22:35726112-35726612	73	0.9116982145527966	0.35735630231476184	6.329092740412511e-20	1.190891387710478e-13	0.011091644284747876	2.0432467010955443e-17
110	chr17:46654989-46655489	125	0.13174520441241738	0.05259463594201662	6.889825764408426e-20	1.6511406597083058e-05	3.855481690429047e-14	2.72668259222742e-18
111	chr9:140302346-140302846	228	0.2537754084642784	0.5938777025845896	4.6860973273166904e-11	1.760200614810061e-13	1.7765474887177233e-15	3.7195317554713396e-24
112	chr15:66586673-66587173	148	0.22615450817746782	0.05315027243299096	3.139495694245853e-11	1.1988108376644873e-12	1.9392225595002216e-05	1.5216353860699066e-25
113	chr11:102317876-102318376	100	0.00011927007365899771	5.204490609328939e-05	2.151349404489249e-10	1.8017211938580445e-22	7.460278416894336e-07	1.1363131846150611e-22
114	chr5:148737070-148737570	91	2.896374544906484e-05	3.0196433501700543e-05	1.9373536682724006e-10	5.781051049211872e-05	8.809784854067772e-12	8.675504764502122e-32
115	chr3:196728444-196728944	78	0.00020413791400746521	4.5566294296566375e-05	4.6860973273166904e-11	4.4937303925770194e-10	3.47066209429158e-13	4.65355936557675e-21
116	chr16:27460567-27461067	113	0.041862441254966375	0.5233739009928021	6.388858173940766e-11	8.30720329843284e-15	2.982467959582047e-18	3.196802904733239e-27
117	chr13:109248006-109248506	75	0.0007854732994940795	0.0037855597563865246	2.426353490198063e-10	5.787064285878071e-09	3.398227694643111e-08	8.166559718777154e-26
118	chr11:57243466-57243966	94	0.00010406566704855192	0.0021707540309037236	4.240236175031751e-20	8.240187374110937e-10	1.4809355759910475e-15	3.497508390598006e-26
119	chr16:74363241-74363741	85	0.17102121546853916	0.0736877559691941	4.6860973273166904e-11	2.2260774842279317e-15	6.98028650920778e-14	1.6945980170564027e-29
120	chr20:18568707-18569207	401	0.2537754084642784	0.5938777025845896	1.7475756076603748e-10	6.494014599104233e-06	3.677158134419026e-11	6.059933034732173e-24
121	chr19:39997551-39998051	176	0.0017855982921032847	0.0019287115984145042	3.759645742840072e-20	2.686444253187872e-08	0.00010890106312698912	3.2279851658137263e-25
122	chr1:16011038-16011538	142	0.09577939741909969	0.0717332413172795	1.1923142019752463e-10	1.1342064323216418e-08	1.2412225556907767e-14	1.8290974926987262e-29
123	chr11:61061607-61062107	134	0.12363144467900139	0.0724910677719714	3.62164172621166e-10	5.381881053762329e-07	2.576171709158153e-07	1.5537321862157003e-16
124	chr22:37563953-37564453	175	8.335277133839318e-05	0.00298884316341379	0.2681484741933632	3.9849860780716056e-13	4.87800100441515e-06	2.4801689276470806e-25
125	chr3:12927558-12928058	191	6.971142988813256e-05	4.450962934873801e-05	0.3292192580358966	5.168618538850916e-14	3.4663742364890904e-07	5.289897609845537e-13
126	chr4:114368823-114369323	86	0.0005645484923525597	0.005574351918968841	3.942505110627179e-10	5.007565905127547e-13	0.0815156715127907	6.590387400924431e-23
127	chr17:49195541-49196041	85	7.599806058306308e-05	0.0007679150110898358	3.139495694245864e-11	1.0706398116667135e-13	6.142645415136072e-06	3.988584292471957e-33
128	chr1:41229803-41230303	116	5.061481501225825e-05	0.0007739085666599376	3.6216417262116727e-10	9.587724809187508e-14	6.44762769755414e-06	1.8376508393425624e-14
129	chr22:39838192-39838692	216	0.07942765823968795	0.5233739009928021	1.747575607660381e-10	7.671451874037383e-12	0.008038672541813518	2.4228746023389853e-21
130	chrX:152873791-152874291	84	0.0008436356009234902	9.150521915126797e-05	1.747575607660381e-10	6.110627001016147e-18	0.000624963160550901	1.9297324937696252e-28
131	chr9:107527405-107527905	95	8.651083013674173e-05	0.0004400794758442438	1.8975515422756936e-10	2.0161040375458017e-12	0.00011928479713876687	5.3191786361952334e-27
132	chr2:9617996-9618496	89	0.1379534961371068	0.13729927640913078	2.151349404489249e-10	2.411450032721989e-17	9.604488113720176e-07	1.8933479422338497e-36
133	chr11:22688273-22688773	73	5.584893198575886e-05	0.0010469526056029472	6.889825764408426e-20	1.9637742187812697e-06	2.4262185354538333e-15	7.13706376133894e-30
134	chr22:17640427-17640927	248	0.2719312405462513	0.17877142143239375	5.753355449155797e-11	7.3613526375363424e-09	3.8091134575540783e-14	4.037666035381491e-21
135	chr1:28211117-28211617	276	8.31883589250916e-06	0.00014119191549963678	8.587616043814395e-11	3.0304287498640655e-19	1.6976064227685153e-05	3.1982759473438575e-15
136	chrX:153209877-153210377	101	0.00344824152556163	0.0008615882423003515	0.3292192580358966	9.628859729030333e-12	2.3434225942363795e-15	2.3881171224413527e-23
137	chr19:12098704-12099204	152	5.275755789856893e-07	5.2309960399065126e-06	8.587616043814364e-11	1.4582896605341824e-11	0.00064787251061056	1.5904760450046091e-27
138	chr2:242157531-242158031	82	0.4246384945455413	0.05315027243299096	6.889825764408426e-20	0.0006391096958684777	2.7001968625622165e-21	5.284519443652668e-22
139	chr8:29953239-29953739	80	6.07435902968084e-09	0.00013876847253731778	1.747575607660381e-10	1.10860043224644e-09	4.070843122035954e-07	1.4620532231958742e-23
140	chr12:110806071-110806571	95	0.0013619872787288872	0.009037665440820412	1.3709675030680278e-19	6.436891918501296e-12	0.008038672541813518	1.749095230406137e-22
141	chr7:108209441-108209941	100	0.06396933085677384	0.03164797152685327	9.536184830061028e-11	1.8212581588803515e-14	3.904975922591789e-06	9.002120379316944e-24
142	chr16:47071905-47072405	94	0.0031843309047646768	0.009263816783394288	3.942505110627165e-10	6.449211410389115e-05	1.1002680692695803e-09	3.1557761919650283e-28
143	chr2:18004891-18005391	76	0.2537754084642784	0.5938777025845896	1.7796808593935836e-10	2.538894704254311e-11	4.9964572441199245e-14	8.055965289986118e-29
144	chrX:153286417-153286917	90	0.14361663356719837	0.1220639661271778	0.3292192580358966	5.004841695175084e-11	3.01160531366091e-09	1.1803735038626814e-30
145	chrX:47225328-47225828	111	0.0009477721348121887	3.9478841851326e-06	1.1708049817139582e-10	8.636869694585721e-12	7.920058212618824e-18	6.359951925952858e-23
146	chr2:197809306-197809806	238	0.06900946164382298	0.17877142143239375	1.2712827925824075e-10	6.06385437930357e-10	0.0009615582747159563	1.6408031047639761e-31
147	chr9:21118970-21119470	127	0.39712940811309594	0.20838090843410975	0.3292192580358966	5.661639275074501e-17	3.16617380102508e-05	1.04731990523155e-11
148	chr12:46780954-46781454	79	0.016978115266893842	0.043524608432683284	9.536184830061028e-11	3.7168033852249487e-10	2.2745226558814403e-05	2.4489832790092553e-34
149	chr10:122587001-122587501	108	7.120061090873572e-05	0.00019796749412151043	6.889825764408426e-20	6.841646863485517e-24	0.0017710222426294297	2.555150405160451e-32
150	chr1:110882249-110882749	99	5.44453677325331e-07	1.8131565850237945e-08	1.1708049817139582e-10	2.7023410228222888e-08	2.3451276410744858e-14	2.199700768637172e-37
151	chr5:34959343-34959843	190	6.566091965013446e-06	3.330515741276902e-05	2.151349404489249e-10	1.1027610740658664e-15	1.0160854516227725e-05	7.069040271294004e-25
152	chr15:82338822-82339322	90	0.0030348876400642277	0.009192072906824805	0.49140168849754784	1.534760253105998e-11	6.35730675412965e-07	3.564046798354656e-18
153	chr16:89258499-89258999	75	0.011261463535941133	0.05063023342503922	3.385672014084197e-20	8.645536464401779e-09	2.4933220686745994e-19	5.938704811391834e-22
154	chr1:209939380-209939880	93	0.07569331665048085	0.1220639661271778	1.2593904066243603e-19	2.185412112749313e-14	0.0008341994509198417	2.289761836570395e-29
155	chr12:108945334-108945834	104	0.07856080268264769	0.011907724522693933	0.49140168849754784	1.0419740839161501e-19	0.0027019623296550966	4.533736412955559e-23
156	chr18:3449458-3449958	117	0.00741224185205267	0.00018210871553744497	3.942505110627179e-10	1.8305871916494442e-06	3.318405344392713e-09	1.5247250290148416e-24
157	chr8:74057561-74058061	175	0.206184661318464	0.08832854347269148	4.6860973273166904e-11	3.0287519691960914e-15	3.90314320931172e-09	1.4813086044673863e-29
158	chr18:21199522-21200022	189	4.687120738283489e-10	0.059032774712345304	1.747575607660381e-10	3.879513943226611e-08	2.0846869824800196e-07	4.392232126888034e-23
159	chr4:84138145-84138645	89	0.1640518958727656	0.027526659784269426	5.753355449155797e-11	1.6631246625575706e-12	1.5889376890812607e-06	1.0129724681477855e-19
160	chr1:210386679-210387179	75	0.0001109882092688918	0.0006861070022952671	7.481106653100382e-20	4.280887627734239e-14	3.200257297022746e-08	9.451998793127575e-21
161	chr17:71287084-71287584	90	8.856864346387395e-05	0.001168900447504988	3.942505110627165e-10	9.335242693240327e-10	3.3852813637891016e-14	6.35538614332304e-25
162	chr21:38581182-38581682	107	7.338088522637793e-08	0.06698509145537893	5.753355449155797e-11	6.53128020867274e-10	2.6822027592900323e-11	5.1321562015268944e-24
163	chr16:88601153-88601653	88	0.18161796759568277	0.08949699946921402	6.889825764408426e-20	3.685003210293004e-07	4.2081566003071886e-20	7.354228185957858e-26
164	chr16:11390859-11391359	204	0.0038668742996194965	0.0017398203735481468	6.388858173940766e-11	3.072277692098377e-13	8.093862558276348e-07	1.3364524484220049e-26
165	chr3:16418721-16419221	87	0.0028868121213206747	0.0040535418335005515	6.077022857366986e-20	2.4256667688489695e-15	8.666912640854975e-07	1.1033319965825059e-32
166	chrX:43513780-43514280	155	3.455750231337507e-05	7.224206561943073e-07	3.139495694245864e-11	1.0561341280138346e-07	2.174713626854837e-05	8.771057439756759e-21
167	chr19:16697813-16698313	110	0.000195398661496934	0.00046957403162066355	4.071359547596493e-20	1.2390762108811001e-15	8.817405822943872e-15	1.0554751391809975e-12
168	chr10:135074770-135075270	91	0.009881956050142844	0.006099440520494903	6.388858173940766e-11	4.700870551779605e-09	5.750877571614388e-06	2.5643604979673217e-24
169	chr2:25141932-25142432	72	1.848581502139317e-05	1.2094351607532265e-05	4.6860973273166904e-11	3.8156554770583317e-10	2.0951453072312574e-05	5.713729488739432e-23
170	chr19:46119231-46119731	186	0.007235150747826237	0.008176465934435266	1.3709675030680278e-19	3.140846918112733e-08	5.807931577388273e-07	5.1461571570862925e-33
171	chr21:33028572-33029072	144	0.2537754084642784	0.35735630231476184	1.9373536682724006e-10	5.013681765170023e-13	9.299889609759567e-05	1.9497282425689006e-21
